Sample,Concentration
Standard1,16384
Standard2,8192
Standard3,4096
Standard4,2048
Standard5,1024
Standard6,512
Standard7,256
Standard8,128
Standard9,64
Standard10,32
Standard11,16
Standard12,8
Standard13,4
Standard14,2
Standard15,1
